Date,Open,High,Low,Close,Adj Close,Volume
2019-03-22,57000.000000,57299.000000,56175.550781,56547.750000,56247.269531,5278
2019-03-25,56310.000000,56320.000000,55895.148438,56006.250000,55708.644531,3193
2019-03-26,56399.000000,56399.000000,56050.000000,56180.148438,55881.621094,5182
2019-03-27,56350.000000,56885.000000,56200.000000,56585.148438,56284.464844,7145
2019-03-28,56740.000000,56849.898438,56100.050781,56296.949219,55997.804688,5142
2019-04-01,58150.000000,60689.949219,58000.000000,60163.851563,59844.160156,15675
2019-04-02,60250.000000,61684.000000,60200.000000,60390.101563,60069.199219,13292
2019-04-03,60480.000000,60830.000000,59600.000000,60040.199219,59721.156250,7111
2019-04-04,60262.000000,60498.898438,59750.050781,60003.148438,59684.296875,6488
2019-04-05,60003.148438,60400.000000,59901.351563,60259.199219,59939.003906,4012
2019-04-08,60554.000000,60554.000000,58573.050781,58921.300781,58608.207031,4676
2019-04-09,59199.000000,59350.000000,57500.000000,57641.199219,57334.902344,8355
2019-04-10,57800.000000,58450.000000,57300.000000,57491.750000,57186.250000,7299
2019-04-11,57600.000000,57991.000000,57304.050781,57468.898438,57163.519531,3874
2019-04-12,57500.000000,58599.000000,57500.000000,58515.750000,58204.812500,4869
2019-04-15,59000.000000,59044.750000,58028.199219,58147.898438,57838.906250,4502
2019-04-16,58269.000000,58540.000000,57950.101563,58056.101563,57747.597656,3320
2019-04-18,58203.000000,58400.101563,57526.101563,57812.199219,57504.996094,4303
2019-04-22,57650.000000,57747.101563,56384.398438,56595.148438,56294.417969,3745
2019-04-23,57085.000000,57085.000000,56400.000000,56564.449219,56263.878906,3363
2019-04-24,56600.000000,56800.000000,55555.000000,55642.398438,55346.730469,5419
2019-04-25,56049.000000,56192.949219,55300.000000,55420.898438,55126.406250,5110
2019-04-26,55750.000000,55839.750000,54250.000000,54410.050781,54120.925781,11658
2019-04-30,54410.050781,54589.750000,52500.000000,52905.000000,52623.871094,9371
2019-05-02,52605.000000,53690.000000,51586.300781,52424.851563,52146.273438,26249
2019-05-03,52500.000000,53400.000000,52500.000000,53110.898438,52828.671875,12837
2019-05-06,53110.898438,53990.000000,52706.000000,53817.851563,53531.878906,11787
2019-05-07,54000.000000,54650.000000,52666.300781,52944.648438,52663.304688,5985
2019-05-08,53049.000000,54500.000000,53000.000000,54117.750000,53830.175781,12180
2019-05-09,54400.000000,54679.949219,54000.000000,54431.199219,54141.960938,7410
2019-05-10,54600.000000,54798.949219,53751.601563,53947.351563,53660.683594,5090
2019-05-13,53997.000000,53997.898438,52927.898438,53071.750000,52789.738281,2913
2019-05-14,53140.000000,53499.000000,52850.000000,53289.851563,53006.683594,3264
2019-05-15,53590.000000,53799.000000,53200.050781,53559.300781,53274.699219,7314
2019-05-16,53849.000000,53970.000000,53100.000000,53692.398438,53407.085938,5128
2019-05-17,53749.898438,54750.000000,53401.648438,54369.699219,54080.789063,5326
2019-05-20,54889.699219,55149.949219,54232.000000,54761.300781,54470.308594,9203
2019-05-21,55000.000000,55150.000000,54415.000000,54772.101563,54481.050781,5597
2019-05-22,54999.000000,55250.000000,54500.050781,55123.851563,54830.937500,4630
2019-05-23,55523.000000,56098.199219,54500.000000,54818.300781,54527.007813,9450
2019-05-24,55200.000000,57464.800781,55000.000000,57009.300781,56706.359375,8395
2019-05-27,57300.000000,57928.050781,56677.500000,56862.648438,56560.492188,6040
2019-05-28,57148.949219,57250.000000,56255.050781,56416.699219,56116.910156,4862
2019-05-29,56600.000000,56890.000000,55701.000000,55916.699219,55619.570313,4761
2019-05-30,56250.000000,56250.000000,55025.000000,55185.250000,54892.003906,4519
2019-05-31,55299.101563,55676.699219,54525.000000,55265.101563,54971.425781,6656
2019-06-03,55403.250000,56431.949219,55390.000000,56002.449219,55704.863281,6624
2019-06-04,56026.000000,57600.000000,56025.000000,57382.449219,57077.531250,11498
2019-06-06,57599.949219,57741.050781,55510.601563,55805.800781,55509.265625,7419
2019-06-07,55950.000000,56441.300781,55112.000000,55597.500000,55302.066406,6447
2019-06-10,55949.000000,56000.000000,55100.000000,55594.550781,55299.128906,4118
2019-06-11,55800.000000,56299.898438,55501.000000,56197.050781,55898.429688,3948
2019-06-12,56270.000000,56270.000000,55417.300781,55709.500000,55413.468750,4485
2019-06-13,55999.000000,55999.000000,54251.000000,54770.949219,54479.910156,6714
2019-06-14,54651.000000,55144.000000,54383.800781,54704.750000,54414.058594,3387
2019-06-17,54950.000000,55300.000000,54148.851563,54724.699219,54433.906250,5755
2019-06-18,54555.000000,54950.000000,54123.800781,54619.800781,54329.562500,4368
2019-06-19,54700.000000,54931.800781,54326.000000,54495.800781,54206.222656,6317
2019-06-20,54599.949219,55000.000000,54114.898438,54921.699219,54629.855469,2777
2019-06-21,54850.000000,55199.898438,54450.000000,54922.398438,54630.554688,3125
2019-06-24,54600.000000,55089.949219,54555.250000,54660.699219,54370.246094,5044
2019-06-25,55050.000000,56338.648438,54498.949219,55552.898438,55257.703125,13088
2019-06-26,55300.000000,56350.000000,55249.000000,56094.750000,55796.671875,5529
